[Mon Oct 21 19:32:00 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ';' in C:\\server\\myproject\\NewView\\www\\application\\views\\user\\u_message.php on line 33, referer: http://newview.loc/user/viewMessage/16
[Mon Oct 21 19:42:44 2013] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined method CI_DB_mysql_driver::getwhere() in C:\\server\\myproject\\NewView\\www\\application\\models\\messages.php on line 86, referer: http://newview.loc/user/viewMessage/14
[Wed Oct 23 10:49:44 2013] [error] [client 127.0.0.1] PHP Fatal error:  Can't use method return value in write context in C:\\server\\myproject\\NewView\\www\\application\\controllers\\user.php on line 212, referer: http://newview.loc/user/viewUser/4
[Wed Oct 23 11:36:36 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '.' in C:\\server\\myproject\\NewView\\www\\application\\views\\singleNews.php on line 55, referer: http://newview.loc/
[Wed Oct 23 11:44:06 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in C:\\server\\myproject\\NewView\\www\\application\\views\\singleNews.php on line 55, referer: http://newview.loc/
[Mon Oct 28 11:08:05 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in C:\\server\\myproject\\NewView\\www\\application\\models\\news.php on line 85, referer: http://newview.loc/admin/allNews
[Mon Oct 28 11:37:22 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in C:\\server\\myproject\\NewView\\www\\application\\models\\news.php on line 83, referer: http://newview.loc/admin/allNews
[Mon Oct 28 11:44:22 2013] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type stdClass as array in C:\\server\\myproject\\NewView\\www\\application\\controllers\\admin.php on line 117, referer: http://newview.loc/admin/allNews
[Mon Oct 28 12:21:59 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\\server\\myproject\\NewView\\www\\application\\controllers\\admin.php on line 339, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:22:49 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\\server\\myproject\\NewView\\www\\application\\controllers\\admin.php on line 339, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:22:52 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\\server\\myproject\\NewView\\www\\application\\controllers\\admin.php on line 339, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:23:00 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\\server\\myproject\\NewView\\www\\application\\controllers\\admin.php on line 339, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:23:03 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\\server\\myproject\\NewView\\www\\application\\controllers\\admin.php on line 339, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:23:04 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\\server\\myproject\\NewView\\www\\application\\controllers\\admin.php on line 339, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:29:56 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in C:\\server\\myproject\\NewView\\www\\application\\models\\news.php on line 24, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:30:06 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in C:\\server\\myproject\\NewView\\www\\application\\models\\news.php on line 24, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:30:26 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in C:\\server\\myproject\\NewView\\www\\application\\models\\news.php on line 24, referer: http://newview.loc/admin/newNews
[Mon Oct 28 12:38:28 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in C:\\server\\myproject\\NewView\\www\\application\\models\\news.php on line 34, referer: http://newview.loc/admin/newNews
